City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto ayora,-0.7393,-90.3518,299.01,92,36,1.34,EC,1675832366
84,saint george,37.1041,-113.5841,279.79,54,0,3.09,US,1675832434
85,gat,31.61,34.7642,283.75,100,47,6.14,IL,1675832528
86,karratha,-20.7377,116.8463,308.47,39,42,7.33,AU,1675832529
87,east london,-33.0153,27.9116,293.67,94,100,5.66,ZA,1675832531
88,jamestown,42.097,-79.2353,275.94,95,100,4.12,US,1675832454
89,albox,37.3886,-2.1495,282.22,79,100,1.54,ES,1675832532
90,agboville,5.928,-4.2132,297.36,94,95,1.34,CI,1675832533
91,castro,-24.7911,-50.0119,289.0,96,43,2.16,BR,1675832534
92,bethel,41.3712,-73.414,276.75,84,100,0.45,US,1675832535
93,albany,42.6001,-73.9662,276.42,78,84,1.67,US,1675832421
94,barrow,71.2906,-156.7887,253.16,77,100,3.09,US,1675832535
95,staryy nadym,65.6118,72.6842,256.64,87,100,8.15,RU,1675832536
96,thunder bay,48.4001,-89.3168,261.1,79,20,1.54,CA,1675832537
97,torbay,47.6666,-52.7314,271.25,85,75,11.32,CA,1675832537
98,aklera,24.4167,76.5667,295.24,27,0,1.56,IN,1675832538
99,porbandar,21.6422,69.6093,298.23,44,20,3.43,IN,1675832539
100,sao joao da barra,-21.6403,-41.0511,296.41,94,100,1.65,BR,1675832539
101,olafsvik,64.8945,-23.7142,270.85,52,100,12.68,IS,1675832540
102,guozhen,34.3659,107.359,280.43,72,100,2.38,CN,1675832498
103,linjiang,41.8069,126.9078,270.21,56,18,2.93,CN,1675831971
104,severo-kurilsk,50.6789,156.125,268.53,75,25,4.76,RU,1675832452
105,mataura,-46.1927,168.8643,282.86,62,56,5.29,NZ,1675832542
106,hilo,19.7297,-155.09,296.64,98,57,0.89,US,1675832458
107,rawson,-43.3002,-65.1023,291.25,58,1,2.13,AR,1675832543
108,sibiti,-3.6819,13.3499,293.62,97,100,1.03,CG,1675832543
109,xapuri,-10.6517,-68.5044,294.96,99,69,0.98,BR,1675832544
110,luderitz,-26.6481,15.1594,291.38,82,22,6.98,NA,1675832544
111,georgetown,5.4112,100.3354,305.11,66,20,3.09,MY,1675832328
112,aripuana,-9.1667,-60.6333,294.45,99,38,0.67,BR,1675832545
113,arraial do cabo,-22.9661,-42.0278,296.74,92,100,1.8,BR,1675832546
114,la rioja,42.25,-2.5,272.03,97,100,2.79,ES,1675832547
115,denpasar,-8.65,115.2167,303.96,70,20,5.14,ID,1675832494
116,harnosand,62.6323,17.9379,265.15,91,38,2.74,SE,1675832547
117,salalah,17.0151,54.0924,295.92,55,69,0.99,OM,1675832548
